GENERO,PAÍS DE PROCEDENCIA,DEPARTAMENTO,RANGO EDAD,MOTIVO VIAJE,NOCHES,TIPO ALOJAMIENTO,GASTO TURISTICO GENERADO,MEDIO,AÑO
MASCULINO,COLOMBIA,CAUCA,51-62,"SALUD, BIENESTAR Y ATENCIÓN MÉDICA (INCLUYE LA CIRUGÍA ESTÉTICA)",3,HABITACIÓN SIN PAGAR EN VIVIENDA FAMILIAR QUE NO ES ALLEGADA MÍA,"100,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CAUCA,51-62,"SALUD, BIENESTAR Y ATENCIÓN MÉDICA (INCLUYE LA CIRUGÍA ESTÉTICA)",3,HOTEL,"300,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,NARIÑO,27-38,"SALUD, BIENESTAR Y ATENCIÓN MÉDICA (INCLUYE LA CIRUGÍA ESTÉTICA)",4,HOTEL,"900,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,NARIÑO,27-38,VISITAR A FAMILIARES Y/O AMIGOS,2,HOTEL,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,CAUCA,51-62,"SALUD, BIENESTAR Y ATENCIÓN MÉDICA (INCLUYE LA CIRUGÍA ESTÉTICA)",2,HOTEL,"800,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,NARIÑO,51-62,VISITAR A FAMILIARES Y/O AMIGOS,1,HOTEL,"1,200,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,mas de 63,VISITAR A FAMILIARES Y/O AMIGOS,2,HOTEL,"900,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,CHOCÓ,39-50,ASISTIR A EVENTOS CULTURALES COMO ARTISTA O COMO ASISTENTE,5,CASA FAMILIARES / AMIGOS,"560,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,39-50,VISITAR A FAMILIARES Y/O AMIGOS,2,HOTEL,"1,500,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,CHOCÓ,15-26,VISITAR A FAMILIARES Y/O AMIGOS,4,HOTEL,"1,000,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CHOCÓ,27-38,VISITAR A FAMILIARES Y/O AMIGOS,1,HOTEL,"1,200,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,CHOCÓ,27-38,ASISTIR A EVENTOS CULTURALES COMO ARTISTA O COMO ASISTENTE,10,HOTEL,"600,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,IBAGUE,51-62,VISITAR A FAMILIARES Y/O AMIGOS,2,HOTEL,"1,500,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,CHOCÓ,27-38,"SALUD, BIENESTAR Y ATENCIÓN MÉDICA (INCLUYE LA CIRUGÍA ESTÉTICA)",12,APARTAHOTEL,"2,700,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,QUINDÍO,27-38,VISITAR A FAMILIARES Y/O AMIGOS,2,HOTEL,"1,500,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,27-38,VISITAR A FAMILIARES Y/O AMIGOS,2,HOTEL,"2,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
